database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set5_P_3	QCPool_Set5_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set5_P_3	QCPool_Set5_P_4	QCPool_Set6_P_3	QCPool_Set6_P_4	QCPool_Set7_P_3	QCPool_Set7_P_4	QCPool_Set8_P_3	QCPool_Set8_P_4	QCPool_Set9_P_3	QCPool_Set9_P_4	CovidNeg_P251_P_3	CovidNeg_P251_P_4	CovidNeg_P252_P_3	CovidNeg_P252_P_4	CovidNeg_P253_P_3	CovidNeg_P253_P_4	CovidNeg_P254_P_3	CovidNeg_P254_P_4	CovidNeg_P257_P_3	CovidNeg_P257_P_4	CovidNeg_P258_P_3	CovidNeg_P258_P_4	CovidNeg_P259_P_3	CovidNeg_P259_P_4	CovidNeg_P260_P_3	CovidNeg_P260_P_4	CovidNeg_P261_P_3	CovidNeg_P261_P_4	CovidNeg_P262_P_3	CovidNeg_P262_P_4	CovidNeg_P263_P_3	CovidNeg_P263_P_4	CovidNeg_P264_P_3	CovidNeg_P264_P_4	CovidNeg_P265_P_3	CovidNeg_P265_P_4	CovidNeg_P266_P_3	CovidNeg_P266_P_4	CovidNeg_P267_P_3	CovidNeg_P267_P_4	CovidNeg_P268_P_3	CovidNeg_P268_P_4	CovidNeg_P269_P_3	CovidNeg_P269_P_4	CovidNeg_P270_P_3	CovidNeg_P270_P_4	CovidNeg_P271_P_3	CovidNeg_P271_P_4	CovidNeg_P354_P_3	CovidNeg_P354_P_4	CovidNeg_P356_P_3	CovidNeg_P356_P_4	CovidNeg_P357_P_3	CovidNeg_P357_P_4	CovidNeg_P400_P_3	CovidNeg_P400_P_4	CovidNeg_P435_P_3	CovidNeg_P435_P_4	CovidNeg_P444_P_3	CovidNeg_P444_P_4	CovidNeg_P465_P_3	CovidNeg_P465_P_4	CovidNeg_P466_P_3	CovidNeg_P466_P_4	CovidNeg_P473_P_3	CovidNeg_P473_P_4	CovidNeg_P478_P_3	CovidNeg_P478_P_4	CovidNeg_P480_P_3	CovidNeg_P480_P_4	CovidNeg_P486_P_3	CovidNeg_P486_P_4	COVIDNsc_P274_P_3	COVIDNsc_P274_P_4	COVIDNsc_P275_P_3	COVIDNsc_P275_P_4	COVIDNsc_P276_P_3	COVIDNsc_P276_P_4	COVIDNsc_P277_P_3	COVIDNsc_P277_P_4	COVIDNsc_P278_P_3	COVIDNsc_P278_P_4	COVIDNsc_P280_P_3	COVIDNsc_P280_P_4	COVIDNsc_P281_P_3	COVIDNsc_P281_P_4	COVIDNsc_P282_P_3	COVIDNsc_P282_P_4	COVIDNsc_P290_P_3	COVIDNsc_P290_P_4	COVIDNsc_P291_P_3	COVIDNsc_P291_P_4	COVIDNsc_P292_P_3	COVIDNsc_P292_P_4	COVIDNsc_P293_P_3	COVIDNsc_P293_P_4	COVIDNsc_P294_P_3	COVIDNsc_P294_P_4	COVIDNsc_P397_P_3	COVIDNsc_P397_P_4	COVIDNsc_P308_P_3	COVIDNsc_P308_P_4	COVIDNsc_P309_P_3	COVIDNsc_P309_P_4	COVIDNsc_P295_P_3	COVIDNsc_P295_P_4	COVIDNsc_P296_P_3	COVIDNsc_P296_P_4	COVIDNsc_P299_P_3	COVIDNsc_P299_P_4	COVIDNsc_P300_P_3	COVIDNsc_P300_P_4	COVIDNsc_P301_P_3	COVIDNsc_P301_P_4	COVIDNsc_P302_P_3	COVIDNsc_P302_P_4	COVIDNsc_P303_P_3	COVIDNsc_P303_P_4	COVIDNsc_P304_P_3	COVIDNsc_P304_P_4	COVIDNsc_P305_P_3	COVIDNsc_P305_P_4	COVIDNsc_P418_P_3	COVIDNsc_P418_P_4	COVIDNsc_P419_P_3	COVIDNsc_P419_P_4	COVIDNsc_P421_P_3	COVIDNsc_P421_P_4	COVIDNsc_P422_P_3	COVIDNsc_P422_P_4	COVIDNsc_P423_P_3	COVIDNsc_P423_P_4	COVIDNsc_P424_P_3	COVIDNsc_P424_P_4	COVIDNsc_P425_P_3	COVIDNsc_P425_P_4	COVIDNsc_P426_P_3	COVIDNsc_P426_P_4	COVIDNsc_P430_P_3	COVIDNsc_P430_P_4	COVIDNsc_P431_P_3	COVIDNsc_P431_P_4	COVIDNsc_P432_P_3	COVIDNsc_P432_P_4	COVIDNsc_P433_P_3	COVIDNsc_P433_P_4	COVIDNsc_P434_P_3	COVIDNsc_P434_P_4	COVIDNsc_P436_P_3	COVIDNsc_P436_P_4	COVIDNsc_P437_P_3	COVIDNsc_P437_P_4	COVIDNsc_P443_P_3	COVIDNsc_P443_P_4	COVIDNsc_P476_P_3	COVIDNsc_P476_P_4	COVIDNsc_P479_P_3	COVIDNsc_P479_P_4	CovidSevere_P273_P_3	CovidSevere_P273_P_4	CovidSevere_P272_P_3	CovidSevere_P272_P_4	CovidSevere_P283_P_3	CovidSevere_P283_P_4	CovidSevere_P284_P_3	CovidSevere_P284_P_4	CovidSevere_P285_P_3	CovidSevere_P285_P_4	CovidSevere_P286_P_3	CovidSevere_P286_P_4	CovidSevere_P287_P_3	CovidSevere_P287_P_4	CovidSevere_P288_P_3	CovidSevere_P288_P_4	CovidSevere_P289_P_3	CovidSevere_P289_P_4	CovidSevere_P298_P_3	CovidSevere_P298_P_4	CovidSevere_P315_P_3	CovidSevere_P315_P_4	CovidSevere_P334_P_3	CovidSevere_P334_P_4	CovidSevere_P336_P_3	CovidSevere_P336_P_4	CovidSevere_P343_P_3	CovidSevere_P343_P_4	CovidSevere_P344_P_3	CovidSevere_P344_P_4	CovidSevere_P345_P_3	CovidSevere_P345_P_4	CovidSevere_P318_P_3	CovidSevere_P318_P_4	CovidSevere_P360_P_3	CovidSevere_P360_P_4	CovidSevere_P361_P_3	CovidSevere_P361_P_4	CovidSevere_P362_P_3	CovidSevere_P362_P_4	CovidSevere_P380_P_3	CovidSevere_P380_P_4	CovidSevere_P381_P_3	CovidSevere_P381_P_4	CovidSevere_P382_P_3	CovidSevere_P382_P_4	CovidSevere_P401_P_3	CovidSevere_P401_P_4	CovidSevere_P411_P_3	CovidSevere_P411_P_4	CovidSevere_P413_P_3	CovidSevere_P413_P_4	CovidSevere_P297_P_3	CovidSevere_P297_P_4	CovidSevere_P420_P_3	CovidSevere_P420_P_4	CovidSevere_P428_P_3	CovidSevere_P428_P_4	CovidSevere_P429_P_3	CovidSevere_P429_P_4	CovidSevere_P442_P_3	CovidSevere_P442_P_4	CovidSevere_P472_P_3	CovidSevere_P472_P_4	GroupArea_Sample	GroupCV_Sample_percentage
CHEBI:167861	C25H38O4	O=C1C(O)=C([C@@H](CO)C)[C@@H]2[C@@]1(CC=C(CCC=C(C)CC[C@@H](C(=CC2)C)O)C)C	InChI=1S/C25H38O4/c1-16-7-6-8-17(2)13-14-25(5)20(11-10-18(3)21(27)12-9-16)22(19(4)15-26)23(28)24(25)29/h7,10,13,19-21,26-28H,6,8-9,11-12,14-15H2,1-5H3/b16-7-,17-13-,18-10-/t19-,20-,21+,25+/m1/s1	Terpestacin					19.959																																																																																																											6110300.27957185	5487173.21219997		5930743.05290623																		5644551.53800781	7901840.29861614	8853804.10309169																																				6743358.30177226																																																																																																																																													6110300.27957185	18.9737184471758
CHEBI:9439	C22H30N4O4	C/1(\N(C([C@@H](NC([C@H](C)N(C(CNC1=O)=O)C)=O)CC(C)C)=O)C)=C\C2=CC=CC=C2	InChI=1S/C22H30N4O4/c1-14(2)11-17-22(30)26(5)18(12-16-9-7-6-8-10-16)21(29)23-13-19(27)25(4)15(3)20(28)24-17/h6-10,12,14-15,17H,11,13H2,1-5H3,(H,23,29)(H,24,28)/b18-12-/t15-,17-/m0/s1	Tentoxin					19.952																																																																																															11176376.9881572	12291498.021577	13595558.9344454	15043546.1617754	10863016.5503495	11249962.2760576	11120057.4855632	11928200.0703415	10523514.0370645	11819690.0606688	12419862.0893897	13412589.2470586	9312319.4254835	9215328.05980569	12529189.6741243	13534822.9515933																																															7605459.42618151	8671357.18760401	8565821.17778637	9820224.44014561	8449435.33618648	8456884.00540826	7650615.96807909	7707671.79973033				7208704.26978591	6711146.10416279	6535849.66601001																												5310571.94669486	6330475.45758222	17776147.9147929	6542273.5850539	11724816.8104379	14329469.6393254	16515003.7984672																																							8617320.45005388	9119858.43520167																																																															10171869.238605	29.067566655537
CHEBI:35847	C14H9ClN2O3S	NC(=O)N1C(=O)\C(=C(/O)c2cccs2)c2cc(Cl)ccc12	InChI=1S/C14H9ClN2O3S/c15-7-3-4-9-8(6-7)11(13(19)17(9)14(16)20)12(18)10-2-1-5-21-10/h1-6,18H,(H2,16,20)/b12-11-	Tenidap					8.394																																																																																																																																																																																																																																																																																			5351944.83785822	4950542.48085867																															5151243.65935844	5.51001558823586
CHEBI:9434	C33H30N4O2	CCCc1nc2c(C)cc(cc2n1Cc1ccc(cc1)-c1ccccc1C(O)=O)-c1nc2ccccc2n1C	InChI=1S/C33H30N4O2/c1-4-9-30-35-31-21(2)18-24(32-34-27-12-7-8-13-28(27)36(32)3)19-29(31)37(30)20-22-14-16-23(17-15-22)25-10-5-6-11-26(25)33(38)39/h5-8,10-19H,4,9,20H2,1-3H3,(H,38,39)	Telmisartan					10.931																																																																																																					36651367.6779346	37119868.3894578																																																																																																											998905167.780192	1051037242.7454																																	61042423.2812059	63174665.0315629															6251823.39521907	6259208.7705198															27663138.6980752	27823919.0006094																															36885618.0336962	180.814715138769
CHEBI:81781	C16H22ClN3O			tebuconazole					6.949																																																																																																									89371263.4139047	72347757.1382452																																													14837577.985746																																																																																								57723837.1957903	59543684.9911264																																																																			59543684.9911264	47.0092680389046
CHEBI:81781	C16H22ClN3O			tebuconazole					6.887																																																																																																										21038902.1057622																																																																																																																																																																																																									21038902.1057622	
CHEBI:9768	C15H8N2O2	O=C1c2ccccc2-n2c1nc1ccccc1c2=O	InChI=1S/C15H8N2O2/c18-13-10-6-2-4-8-12(10)17-14(13)16-11-7-3-1-5-9(11)15(17)19/h1-8H	tcmdc-125859					1.324																																																																																																																																																																																																																																																																					21842337.7413204	26047661.1417028																																													23944999.4415116	12.4185122691534
CHEBI:85192	C10H12N4O5S	[Na+].C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C([O-])=O	InChI=1S/C10H12N4O5S.Na/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19;/h2-3,7-8H,4-5H2,1H3,(H,16,17);/q;+1/p-1/t7-,8+,10+;/m1./s1	Tazobactamsodium					2.346																																																																																																																																																																																																																																																																																																									265438603.807582										265438603.807582	
CHEBI:9421	C10H12N4O5S	C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O	InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1	Tazobactam					2.58																																																																																																																																																																																																																	292629140.11774																																									504297888.610837									10755782.476508		281724414.527975																																														287176777.322857	74.2651957844737
CHEBI:9410	C26H45NO6S	[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2	InChI=1S/C26H45NO6S/c1-16(4-9-24(30)27-12-13-34(31,32)33)20-7-8-21-19-6-5-17-14-18(28)10-11-25(17,2)22(19)15-23(29)26(20,21)3/h16-23,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17-,18-,19+,20-,21+,22+,23+,25+,26-/m1/s1	Taurodeoxycholic acid					15.505																																																																																																	47961205.4708858	51488929.8362935	41178867.6013923	42152841.1589241	24066632.320378	23213882.6714823							79326456.9632765	83884495.0296374													30604621.8187839	33618050.650153	6807164.17115794	13973632.058148					7640663.14224278	13868691.6463665			7146287.67525079	16342080.2931301																													47949927.5120866	52246416.590263	6392281.24438608	7222765.17614759			17174255.6010619	19318218.248018																					16505146.4014664	18790257.4435176			25454677.9437326	28577850.517609																																				35252991.5635749											74952505.1749349	84841710.6009446			15351655.0052982	16619394.9140894			41756769.8952692	45810837.4755473															7431819.17578947	15164262.0746072																																					24066632.320378	72.6940886351335
CHEBI:9410	C26H45NO6S	[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2	InChI=1S/C26H45NO6S/c1-16(4-9-24(30)27-12-13-34(31,32)33)20-7-8-21-19-6-5-17-14-18(28)10-11-25(17,2)22(19)15-23(29)26(20,21)3/h16-23,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17-,18-,19+,20-,21+,22+,23+,25+,26-/m1/s1	Taurodeoxycholic acid					15.511																																																																																																	23129941.1570822	24951489.9968512	19850169.7256543	20529462.2772713									37484854.5714209	40380809.8974353																																																							21835530.174124	23780265.3948949																																																																															37734777.0591293	40265358.408706							22415464.126253	8162523.58411612																																																					23455103.2759885	37.5112261865505
CHEBI:9410	C26H45NO6S	[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2	InChI=1S/C26H45NO6S/c1-16(4-9-24(30)27-12-13-34(31,32)33)20-7-8-21-19-6-5-17-14-18(28)10-11-25(17,2)22(19)15-23(29)26(20,21)3/h16-23,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17-,18-,19+,20-,21+,22+,23+,25+,26-/m1/s1	Taurodeoxycholic acid					15.924																																																																																																			17201654.685675	18092822.5165432									10240346.004791																																										16784364.0924636	9089142.01160722																																																									35755460.0638788	37670381.9545587	19653000.8240355	21552566.8322262																																	12584722.3537371	6699856.69376692																																																													17201654.685675	53.878669168293
CHEBI:28865	C26H45NO7S	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1	Taurocholic acid					13.816																																																																																																																																																																																																																									65914652.5279456	67468804.4910946																											40037112.0701938	41182803.0236888																																																													53548727.7758172	28.1056799885043
CHEBI:16525	C26H45NO6S	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1	Taurochenodeoxycholic acid					12.715																																																																																																																																																																																																																									155849604.182935	173420049.988333																																																																																									164634827.085634	7.54650859566083
CHEBI:16525	C26H45NO6S	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1	Taurochenodeoxycholic acid					15.699																																																																																																																																																																																																																																									39364767.5106174																																																																										39364767.5106174	
CHEBI:16525	C26H45NO6S	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1	Taurochenodeoxycholic acid					15.116																																																																																																																																																																																																							20392826.8148076	21163469.3356375																																																																																																											20778148.0752226	2.62259442168085
CHEBI:16525	C26H45NO6S	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1	Taurochenodeoxycholic acid					15.948																																																																																																														18181772.3836374																																																																																																																																																																																																					18181772.3836374	
CHEBI:15891	C2H7NO3S	C(CS(O)(=O)=O)N	InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)	Taurine					1.206																																	4009536.8632571							3566756.29695637																																																																																																																																																																																																																																																																											3788146.58010674	8.26507460542994
CHEBI:955	C8H10O3	COc1cccc(OC)c1O	InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3	syringol					7.89																																																																																																																																																																																																															4976123.46012969	4742172.26190825											5194707.61207795	5301631.34571829							6108076.81596148	6211504.0205061	5029299.20120707	5088763.73633315	4350876.00081787																																																				5389102.44659034	5524915.79337162					4565877.85447063	4307642.15758139	4622133.70292102	4981603.06450545							5395864.0905874	5149568.69085181							5088763.73633315	10.3897573501365
CHEBI:9361	C15H25NO4	CC(C)[C@](O)([C@@H](C)O)C(=O)OCC1=CCN2CCC[C@@H]12	InChI=1S/C15H25NO4/c1-10(2)15(19,11(3)17)14(18)20-9-12-6-8-16-7-4-5-13(12)16/h6,10-11,13,17,19H,4-5,7-9H2,1-3H3/t11-,13+,15+/m1/s1	Supinine					7.213																																																																																															15478856.151882	15983226.8830983																					9089076.73293376	8492081.21155839																															7796318.73107192	8539421.419925																																																																																																																																																													8814249.07642938	34.6039299175851
CHEBI:169108	C9H13NO2S	S1C(CCOC(=O)CC)=C(N=C1)C	InChI=1S/C9H13NO2S/c1-3-9(11)12-5-4-8-7(2)10-6-13-8/h6H,3-5H2,1-2H3	Sulfurolpropionate					7.309																																	4592919.5860952	4428442.03105621	4560447.26086688	4414685.93456062	4919877.20880425	4781609.09836076	5274200.67072658	5663281.86878285	7492783.73005366	7677419.95957359							4287301.29318699								4867809.62577693	5247260.45783262			4122970.21684972	3992432.41545881	4555282.72125491	4933419.11822645	5006492.35371778	4783406.67005831	4148404.45872523	4020365.64472578	4467163.84084159	4280268.37889873	4288949.98805056	4144428.93594743	4539990.11411735	4919042.94074646	5467756.79155551	5317367.48396957	4509432.13135245	4356539.318429		4209380.26042195	4222432.8368518		4388236.97222653	4865216.11591955	5994786.58629397	6426949.16540355	5709315.91017658	5641978.98796311	6676702.93977408	6971358.89006373	6350064.64614905	6904336.58678668	6350056.51249601	7199213.44479265	26299802.5291363	27641979.9055467			34084772.7386694	33580189.7108148	14302058.7750593	14288413.5439463											12691943.1139292	13490812.2973819	23270062.591472	24104288.7675021	8627519.14425307	8158366.96662886	8035430.88861719	7949810.80080149			6058292.01514878	6240907.00740228									11797368.3582116	12925145.2942415									11623456.69606	12051953.6349308					6036933.2351647	6489308.10730825									22820477.0090349	25131887.0124671	72741281.5681179	71634505.0339683	23132950.8060112	26674951.7119434	172569312.668606	190221965.801976			48467719.5673027	42208680.0191496	191953208.150884	198485735.889849					25301361.4970936	25546019.8144312	44673965.1942209	46013543.3249791					33647051.9638093	34892631.7564865	15981171.6328976	16421805.9863895	18634161.8078655	18886951.4359982	22705380.6134644	22703719.3102622			63552174.1900607	63145268.9869358													20883166.1728415	22320311.0845316							19736728.2981121	20493105.4286633													7798208.26313423	8227312.06102517	18883346.5464755	19361237.8909496	13237138.7428965	13075751.7103741	6863997.58658195	7373710.99785994	16805803.7491711	16542933.6329123			95599531.9760664	105563042.79878			110151473.355068	120423560.313396	74024628.3926256	75053111.5909729	160033723.68392	162785865.152676					41617271.866256	40892705.6462579	16005295.5378926	16905647.6031704	15725950.813826	15567120.1473624	9465682.54668498	8882648.62116469	15204608.5693298	14361450.522819			14476082.5009615	16173262.3328732	17771746.8543795	17506415.991287	12364303.3641866	12250311.0047533	13152093.7260793	13520974.9568709			12956458.3797186	13197008.5676739	7807545.18864728	8137499.82321611													12598876.1374735	12942627.5442437	5773778.02201149	5195723.9560608			6792665.20813321	7001104.89162472					12691943.1139292	153.722829532175
CHEBI:17957	C6H9NOS	Cc1ncsc1CCO	InChI=1S/C6H9NOS/c1-5-6(2-3-8)9-4-7-5/h4,8H,2-3H2,1H3	Sulfurol					1.198																																																																																																																																																																																																																																													7431044.25781625																																																																						7431044.25781625	
CHEBI:9332	C10H11N3O3S	C=1(C=CC(=CC1)N)S(NC=2C=C(ON2)C)(=O)=O	InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)	Sulfamethoxazole					7.879																																											4238206.94273768	4752575.26514774	3876463.70585077	4127025.63054228	5385073.4609876	4687998.16847329	9592255.45151892	9283448.73759198	31196410.7653066	30478401.255142	30967475.7810909	33481472.6519544	34114241.2174006	36534603.8823142	57735954.2223357	60353432.3851317									23349486.8155841	24113809.2065488	25087535.8681581	24616503.6245325	27003691.5405338	26158131.4698928	28350288.1966229	27183343.9015341	27939139.172853	28385530.5520502	17200810.9086369	17492083.3462917	16023009.8021601	17533074.2470283	17634728.9205659	16351332.6352653	19046986.5405744	20516736.4014334	25253967.8873468	27899046.4050828	25773029.2001714	25490204.1655055	25215515.4905153	24055237.9831074	22822573.7434095	23589308.4562194	23025683.155342	24183249.0305648																																																																																																																																																																																																																					24148529.1185568	51.5559709311052
CHEBI:9329	C12H14N4O4S	COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC	InChI=1S/C12H14N4O4S/c1-19-10-11(14-7-15-12(10)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	Sulfadoxine					8.053																																																																																																																																																																																																																																																			22151681.3309761	23712263.2724254																																																															22931972.3017008	4.81205043717171
CHEBI:82535	C22H16N4O	C1=C(C=CC(=C1)N=NC2=C3C(=CC=C2O)C=CC=C3)N=NC4=CC=CC=C4	InChI=1S/C22H16N4O/c27-21-15-10-16-6-4-5-9-20(16)22(21)26-25-19-13-11-18(12-14-19)24-23-17-7-2-1-3-8-17/h1-15,27H	Sudan III					9.188												14377579.1016716																																																																																																																																																																																																																																																																																																								
CHEBI:9300	C8H14O4	OC(=O)CCCCCCC(O)=O	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	Suberic acid					8.928																														51127613.1642372																																																																																																																																																																																																																																																																																						
CHEBI:9300	C8H14O4	OC(=O)CCCCCCC(O)=O	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	Suberic acid					6.522																																																																																																																																																																																																																				14214590.535404																																																																																															14214590.535404	
