database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20P02820216_BEHC18_NEG	20P02820217_BEHC18_NEG	20P02820215_BEHC18_NEG	20P02820224_BEHC18_NEG	20P02820213_BEHC18_NEG	20P02820210_BEHC18_NEG	20P02820211_BEHC18_NEG	20P02820218_BEHC18_NEG	20P02820219_BEHC18_NEG	20P02820133_BEHC18_NEG	20P02820132_BEHC18_NEG	20P02820131_BEHC18_NEG	20P02820130_BEHC18_NEG	20P02820136_BEHC18_NEG	20P02820135_BEHC18_NEG	20P02820134_BEHC18_NEG	20P02820139_BEHC18_NEG	20P02820138_BEHC18_NEG	20P02820024_BEHC18_NEG	20P02820320_BEHC18_NEG	20P02820026_BEHC18_NEG	20P02820027_BEHC18_NEG	20P02820021_BEHC18_NEG	20P02820023_BEHC18_NEG	20P02820028_BEHC18_NEG	20P02820286_BEHC18_NEG	20P02820096_BEHC18_NEG	20P02820227_BEHC18_NEG	20P02820120_BEHC18_NEG	20P02820121_BEHC18_NEG	20P02820122_BEHC18_NEG	20P02820123_BEHC18_NEG	20P02820124_BEHC18_NEG	20P02820264_BEHC18_NEG	20P02820126_BEHC18_NEG	20P02820127_BEHC18_NEG	20P02820128_BEHC18_NEG	20P02820129_BEHC18_NEG	20P02820266_BEHC18_NEG	20P02820059_BEHC18_NEG	20P02820058_BEHC18_NEG	20P02820057_BEHC18_NEG	20P02820051_BEHC18_NEG	20P02820053_BEHC18_NEG	20P02820052_BEHC18_NEG	20P02820295_BEHC18_NEG	20P02820293_BEHC18_NEG	20P02820288_BEHC18_NEG	20P02820317_BEHC18_NEG	20P02820199_BEHC18_NEG	20P02820198_BEHC18_NEG	20P02820195_BEHC18_NEG	20P02820194_BEHC18_NEG	20P02820196_BEHC18_NEG	20P02820315_BEHC18_NEG	20P02820190_BEHC18_NEG	20P02820193_BEHC18_NEG	20P02820192_BEHC18_NEG	20P02820115_BEHC18_NEG	20P02820114_BEHC18_NEG	20P02820116_BEHC18_NEG	20P02820110_BEHC18_NEG	20P02820274_BEHC18_NEG	20P02820176_BEHC18_NEG	20P02820082_BEHC18_NEG	20P02820205_BEHC18_NEG	20P02820080_BEHC18_NEG	20P02820084_BEHC18_NEG	20P02820310_BEHC18_NEG	20P02820306_BEHC18_NEG	20P02820307_BEHC18_NEG	20P02820298_BEHC18_NEG	20P02820299_BEHC18_NEG	20P02820303_BEHC18_NEG	20P02820305_BEHC18_NEG	20P02820240_BEHC18_NEG	20P02820100_BEHC18_NEG	20P02820105_BEHC18_NEG	20P02820038_BEHC18_NEG	20P02820032_BEHC18_NEG	20P02820031_BEHC18_NEG	20P02820030_BEHC18_NEG	20P02820037_BEHC18_NEG	20P02820269_BEHC18_NEG	20P02820328_BEHC18_NEG	20P02820060_BEHC18_NEG	20P02820063_BEHC18_NEG	20P02820064_BEHC18_NEG	20P02820179_BEHC18_NEG	20P02820178_BEHC18_NEG	20P02820069_BEHC18_NEG	20P02820175_BEHC18_NEG	20P02820174_BEHC18_NEG	20P02820173_BEHC18_NEG	20P02820172_BEHC18_NEG	20P02820171_BEHC18_NEG	20P02820170_BEHC18_NEG	20P02820203_BEHC18_NEG	20P02820183_BEHC18_NEG	20P02820180_BEHC18_NEG	20P02820002_BEHC18_NEG	20P02820006_BEHC18_NEG	20P02820188_BEHC18_NEG	20P02820189_BEHC18_NEG	20P02820202_BEHC18_NEG	20P02820271_BEHC18_NEG	20P02820185_BEHC18_NEG	20P02820229_BEHC18_NEG	20P02820228_BEHC18_NEG	20P02820164_BEHC18_NEG	20P02820226_BEHC18_NEG	20P02820092_BEHC18_NEG	20P02820095_BEHC18_NEG	20P02820162_BEHC18_NEG	20P02820163_BEHC18_NEG	20P02820220_BEHC18_NEG	20P02820017_BEHC18_NEG	20P02820016_BEHC18_NEG	20P02820018_BEHC18_NEG	20P02820089_BEHC18_NEG	20P02820151_BEHC18_NEG	20P02820153_BEHC18_NEG	20P02820152_BEHC18_NEG	20P02820154_BEHC18_NEG	20P02820159_BEHC18_NEG	20P02820158_BEHC18_NEG	20P02820276_BEHC18_NEG	20P02820238_BEHC18_NEG	20P02820239_BEHC18_NEG	20P02820234_BEHC18_NEG	20P02820235_BEHC18_NEG	20P02820236_BEHC18_NEG	20P02820237_BEHC18_NEG	20P02820230_BEHC18_NEG	20P02820231_BEHC18_NEG	20P02820232_BEHC18_NEG	20P02820233_BEHC18_NEG	20P02820048_BEHC18_NEG	20P02820046_BEHC18_NEG	20P02820042_BEHC18_NEG	20P02820043_BEHC18_NEG	20P02820040_BEHC18_NEG	20P02820001_BEHC18_NEG	20P02820322_BEHC18_NEG	20P02820323_BEHC18_NEG	20P02820326_BEHC18_NEG	20P02820146_BEHC18_NEG	20P02820147_BEHC18_NEG	20P02820144_BEHC18_NEG	20P02820145_BEHC18_NEG	20P02820142_BEHC18_NEG	20P02820143_BEHC18_NEG	20P02820140_BEHC18_NEG	20P02820141_BEHC18_NEG	20P02820209_BEHC18_NEG	20P02820208_BEHC18_NEG	20P02820075_BEHC18_NEG	20P02820073_BEHC18_NEG	20P02820072_BEHC18_NEG	20P02820079_BEHC18_NEG	20P02820078_BEHC18_NEG
CHEBI:16946	C10H12N2O3	N[C@@H](CC(=O)c1ccccc1N)C(O)=O	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1	L-kynurenine					2.408												1172949.458	830899.4916	1364683.593	1072546.55	1216021.187	1052072.27	1259087.644	2498229.066	1684234.525	1803820.875	2668234.217	3145590.693	1815766.076	1971534.194	2628166.151	1888107.859	3177638.776	2158958.067	1893128.431	1451762.787	2745328.956	3820132.561	5670494.537	2593811.685	5246312.052	1659354.886	2004894.895	1310864.256	2286213.325	1748021.752	2311324.739	1553406.218	1425965.517	1221072.265	2563852.551	2345429.359	1380761.981	2024237.932	1954132.287	1790482.758	1079766.326	3723227.159	1283981.206	1426183.157	1413383.419	6620132.392	1446776.791	2595075.543	1013793.901	1345986.334	1157563.974	1484727.78	1170784.702	1645119.001	2049569.44	2082203.042	2338644.229	755973.5227	5241421.224	2396179.001	2368727.261	1526004.451	1915749.792	1368451.282	1951651.317	1684283.989	1323815.338	1358356.867	1620125.739	1023229.009	1713098.507	1464310.038	1420344.694	1030032.701	1560729.714	1759469.272	2035270.599	1765325.894	1614259.563	1572746.162	2004542.867	2513137.843	1498472.389	1039315.306	2457537.5	1208499.309	5577171.179	1341409.47	1595322.867	1011276.007	10468820.09	954977.2632	1615751.26	1744445.246	1221441.937	1424439.449	2342414.197	1381228.798	1671120.603	1594048.116	2832227.654	6059775.09	1481001.318	1084643.763	1720033.619	2000060.692	1246935.719	1455434.751	2095629.839	3409246.651	1593826.371	1123344.638	1766090.91	1463282.695	843864.3941	1284933.389	2581589.394	2428894.699	1806413.039	8051298.745	1590393.713	1260250.69	3556479.592	1653669.06	1655831.469	1999386.644	3568516.786	1659310.057	1097010.805	1537947.57	2015462.408	1752800.694	1886930.302	1058535.561	1345362.433	1907909.688	1191824.886	5382387.837	1346597.904	9319689.442	1785421.49	2195166.963	1503894.049	1781439.321	1809611.898	1476028.084	2120939.947	2059147.51	1681631.898	2214754.496	5134779.456	1847162.667	1835592.102	2439676.771	1326837.389	1892326.516	2431999.829	1610535.599	1816267.006	1302073.528	2738503.664
CHEBI:16384	C16H18O9	[H][C@]1(O)[C@H](O)C[C@@](O)(C[C@H]1OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1	Neochlorogenic acid					2.52												25047.12272	9192.167597	8179.498497	25881.30004	11024.8846	23029.57711	11256.79263	12373.97579	10345.86784	11740.0846	31958.46423	14151.01456	11545.92747	10370.607	9352.153804	8627.022327	15435.42958	12541.66154	10102.39598	21787.15265	12838.09749	16389.40126	12339.68297	17384.25294	128010.8569	9780.206096	18047.99376	10544.58221	7962.276662	8887.900503	11199.93306	11772.50303	11691.53632	7380.673955	8816.109351	12926.76933	10593.4951	17681.16366	7417.617714	12347.02669	19968.07482	10908.71669	7794.7187	7354.794777	7029.600821	54624.63885	8842.808533	14161.6029	17390.01456	7024.386291	86955.70912	8856.043581	23738.25904	11432.34454	11528.30888	10814.31117	11116.93054	9280.991869	20181.30611	12589.1617	9486.745884	8358.644379	8460.623822	24184.98522	21313.2077	11591.03543	17121.87773	7389.285395	8967.986376	18116.08842	7332.786765	12148.06593	7266.72072	9322.002217	23536.85232	8015.301793	25306.76039	8460.97442	7080.399934	13622.40758	14589.49073	52851.99287	8645.077802	8060.176391	14964.38254	23953.04577	12238.1485	14045.58191	28106.48388	18235.77241	8621.542913	19501.43105	10639.60336	16448.74508	8778.824546	9782.282344	7251.388559	17565.74274	13860.5766	14900.1182	10858.45586	11704.828	31579.91144	9259.248386	70487.18874	25976.48203	11732.66697	11498.94654	18785.94861	28237.1169	9246.421677	11155.45325	8467.750149	17365.96235	18374.96656	26823.77851	9926.719596	8579.663235	8256.78089	37745.16616	8954.350727	16458.12742	11461.39032	62659.03687	11520.43562	9091.399348	65882.60579	10217.72408	24875.92695	28390.14076	23127.19868	29274.89133	9543.401795	17559.86671	17592.28207	24225.34724	15696.46035	16242.60804	8673.066952	15899.61232	30828.7835	11179.62152	8434.019541	16566.05906	9821.597139	18512.19173	15227.5456	12473.26881	7005.338348	26151.57158	8713.27028	21186.6774	11736.65962	33514.27031	21505.08834	39437.29941	16308.63337	13487.96246	7660.070398	14959.63376	8853.242015
CHEBI:21557	C7H13NO3S	CSCC[C@H](NC(C)=O)C(O)=O	InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1	N-acetyl-L-methionine					2.521												2174272.632	2214000.515	1820998.262	2023461.573	1929116.136	1870931.705	1997460.934	2166412.877	2605337.548	1425342.888	1737693.391	1990446.506	1208727.375	1980347.044	1708226.49	884950.4751	1020353.153	400384.5335	1729804.66	1026059.49	1748450.116	1512007.221	4577017.591	799672.8726	3030632.145	936105.2417	535712.1457	1751788.985	830302.1382	865617.8497	924984.9703	1362579.388	2043468.976	647949.3012	1740297.591	1225321.16	434937.1737	1850464.489	1826332.454	1604279.195	389185.2112	346248.2411	429327.385	1820142.434	1434473.786	3904515.316	638469.0875	1848638.48	952113.6374	1981830.986	2993688.042	2683133.472	3776902.606	2299672.535	802000.5756	2418832.582	3192480.832	3318237.692	971232.4633	1579761.789	2406097.037	1456213.859	1451193.354	3463099.434	198260.1736	2807154.071	862073.9563	1389371.1	776902.1053	728913.9637	1585484.683	1482396.137	707381.0145	593060.1633	442620.3238	1365031.968	1947986.144	1227495.244	540143.2372	1350840.869	1675013.763	336962.4407	935881.8551	923719.2553	473898.9342	1195010.549	8964479.485	415045.4784	1610251.626	2684445.086	4399862.782	2352275.524	1743523.131	6681371.257	1834561.904	1795091.891	1543681.104	1053944.808	3857425.413	3539930.965	1509687.868	3273961.911	1998193.111	4835108.171	3371397.208	354087.1821	3483608.061	2881017.034	2499762.981	3383808.241	1954346.971	1660866.408	975262.735	791434.3052	624147.0021	1889573.007	791973.1799	1412950.677	1913448.892	4496579.149	1192167.555	661221.5738	380830.4454	1007611.968	1030589.451	1501274.556	2373870.732	815564.668	94129.27541	162827.3768	714634.187	703152.6504	943767.0666	937520.0572	647099.9941	523154.5263	940125.5185	4438676.826	278990.4226	14610083.59	1270547.385	1386432.236	882012.642	216172.0904	1074846.31	1215923.648	1407298.495	180137.437	2017977.672	787020.8704	240152.4023	855516.665	1611397.865	439281.6218	1686053.774	1355654.869	1281940.118	1133421.245	821915.2557	344781.8141	1324169.975
CHEBI:28483	C7H11N3O	CC(=O)NCCc1c[nH]cn1	InChI=1S/C7H11N3O/c1-6(11)9-3-2-7-4-8-5-10-7/h4-5H,2-3H2,1H3,(H,8,10)(H,9,11)	N-acetylhistamine					2.562												16838.07229	12046.46836	8558.066969	32162.27369	20163.07714	15224.53928	12789.45232	21775.41714	32267.04865	13364.66664	20372.88387	17158.60936	12220.44329	15255.06299	10932.44344	9196.455413	23407.54178	13828.78931	10545.04149	12814.85867	13017.30037	117708.0549	896582.6405	42454.55687	29498.91374	10031.49583	11980.96476	11577.80836	13667.12199	32334.71601	17287.61603	12826.99405	8922.846276	8688.79425	12002.86975	12094.25361	11817.94078	14816.74667	8021.601505	22615.19678	16987.11022	29489.08348	7711.359732	10782.37978	36340.21345	312798.2963	12911.88642	274751.2381	10312.17177	8356.085036	41856.00108	21948.93365	39559.48597	14068.52087	13527.83062	32971.74215	15588.13617	19368.46592	29348.85386	13413.68501	9767.593471	34836.14008	17600.49241	45618.85436	14031.76789	14728.94249	24703.61389	9977.856042	24721.75152	11387.38653	11402.67541	23197.47282	19151.41202	8339.334434	13796.99047	11214.9877	16068.92895	9909.864057	24269.37375	16867.41202	74630.50638	57912.87473	20354.50441	10752.19863	14319.13818	16813.04976	40707.00782	11113.11551	18463.65843	13424.88069	380933.9022	15154.51636	23702.67321	19298.59252	11126.00481	12961.28079	7022.245774	28365.54919	38909.64131	76120.67861	34801.86534	253640.8787	20302.75583	40213.30338	78941.88559	15995.66993	28518.10805	18471.10513	56667.56373	1014101.602	10988.50239	25283.77487	20342.87672	12704.84686	36075.24159	22271.91013	28088.27854	22320.29145	34766.66098	31776.42041	25109.81997	10389.91775	12787.47629	55066.66502	22526.89479	24139.30879	12804.94707	10592.20752	13963.49896	16439.66998	12860.66475	16207.16731	18815.44553	10912.98602	14937.06233	32167.60016	12772.29642	47777.68265	10180.24658	175806.851	33752.99431	31670.72537	11974.87817	10547.78948	10536.24061	10965.20153	30981.27399	12054.29016	20731.06267	25766.38861	21100.32904	40844.91715	11748.26659	24685.5859	15388.46784	28921.07746	14277.54731	9978.589804	10405.80381	34857.11013	12137.07474
CHEBI:104011	C9H10N2O3	Nc1ccc(cc1)C(=O)NCC(O)=O	InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)	4-aminohippuric acid					2.586												235938.6493	188658.8266	192179.3011	284274.7991	359652.2715	189998.6057	184811.237	825111.5162	407292.537	239634.1047	291761.993	433512.8963	322488.8947	335258.4774	382345.7895	347609.3434	635262.2313	384941.7328	293303.1823	363443.8981	581435.5146	1572139.601	1720298.985	691812.7978	2055543.374	246923.9238	410399.1945	173456.8121	413683.756	319212.3138	340632.8141	350803.2221	472786.0488	200636.1019	461690.9949	404839.9162	265217.5352	266077.7619	273119.6565	603358.3622	207210.7075	742925.9572	318379.6402	207110.2332	228172.1697	11642483.42	236850.8566	1313648.891	199433.5299	247598.7643	220094.7793	274117.9405	442409.1348	487220.6321	242724.515	181720.9204	456839.5667	166996.6516	960601.8819	365553.9489	6879210.28	188993.2335	464146.5935	326279.9771	378529.1966	460802.5961	246766.2873	216719.4731	338812.0039	291342.1984	331559.7087	654770.9332	240862.8301	162744.817	471191.2883	291417.2011	445612.0298	217272.8783	295951.609	505174.4222	962882.8391	720693.0968	148754.2595	205170.7592	490488.6562	126679.7272	5745583.63	297830.7277	280586.1319	131186.8549	6436727.837	231220.6005	210882.2868	271797.4454	230199.9529	174877.9428	5265847.921	196070.4945	290770.1164	468572.9709	909445.8879	577246.2658	314451.0211	120478.3398	295946.7934	339525.572	297122.8955	333359.0399	408051.8633	742118.0813	331060.6761	169882.7986	319873.5518	208655.8333	135805.0883	268507.2358	511535.7797	322962.4392	271328.294	547667.6385	320379.6963	200328.185	476881.6485	228405.9806	323698.3353	213822.5479	1802700.425	218398.4397	165892.4086	307438.8494	289448.1706	328001.2575	314449.2147	102619.162	127781.2067	474594.115	211424.1198	1768552.709	227787.7228	8485643.434	241733.6151	392878.667	202471.2957	222925.9483	322251.5768	383062.8466	666355.282	356537.7285	385483.7551	377749.7808	277308.7959	226688.2029	442124.5563	734499.1404	156971.1452	428867.684	337287.0135	229694.3853	299766.9807	205501.5069	353465.673
CHEBI:74879	C12H16N2O4	C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O	InChI=1S/C12H16N2O4/c1-7(12(17)18)14-11(16)10(13)6-8-2-4-9(15)5-3-8/h2-5,7,10,15H,6,13H2,1H3,(H,14,16)(H,17,18)/t7-,10-/m0/s1	Tyrosylalanine					2.587												2313649.817	220619.5914	476300.0861	372605.6916	859561.868	611585.9682	411334.586	548858.353	1162046.541	4113.313906	10296.4806	5218.054042	10377.93803	3307.506213	12858.62517	11415.99711	9861.377422	9513.382113	7392.481002	4038.756479	5069.113181	13072.00415	70401.65424	12473.08823	2234.041761	3165.931391	5502.483435	585292.8805	8652.584828	3723.840879	4802.690358	9139.887401	2570.959916	3496.85566	4195.585371	10339.48366	3361.384642	5077.161356	3354.074405	7931.670369	8391.702609	7863.633414	2961.802003	3824.706288	6331.870257	2462.854394	3310.021271	14863.05644	3271.131567	574808.2661	534800.7888	202696.4842	101039.5859	506453.5748	3891.863399	676896.1904	488218.5373	158788.6795	5034.17751	7233.234849	3153.618734	10299.74001	6943.725045	314093.6557	12206.29495	637897.3887	3866.71341	2867.233559	3270.368317	4087.107534	2923.914556	4051.776801	6139.233999	2683.013117	10628.85997	179077.912	5646.35551	3497.19965	2684.001793	4444.425755	15429.57607	11777.34248	7753.607694	3423.682921	5156.867726	5667.819762	13929.84469	3732.776857	202892.7216	303201.629	8470.631517	261497.2301	60367.8588	233293.4105	43539.64603	492563.5966	2179.42144	428404.8273	712905.5597	529129.9655	3793.993386	3973.115333	501692.8629	312067.5901	1290769.753	12509.59797	507712.796	1210872.482	820898.2493	19925.31167	316371.7812	11569.75814	7028.061204	5240.280509	6194.560008	1325219.169	4224.811735	4759.47299	4783.716449	4722.450882	3134.668635	3360.275154	3660.223545	8399.132979	3786.027345	8365.608486	4956.058268	4520.456219	4499.96099	6174.001056	4274.288338	5233.488562	3546.917817	3058.711951	3073.007287	4322.407249	4509.26678	13249.73362	4557.364354	4941.420981	61526.33966	4186.598018	3780.617447	3180.8471	3216.833726	3260.105542	5465.485415	3786.906594	3900.449524	6512.779569	3361.675209	10687.70984	3795.767466	9053.829157	174562.4377	1228300.446	6044.387924	3934.162297	3368.336822	3648.879024	3391.358548
CHEBI:48991	C6H6N4O2	Cn1cnc2[nH]c(=O)[nH]c(=O)c12	InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)	7-methylxanthine					2.59												515456.1592	53895.76537	63176.23967	56899.5885	95718.45384	17652.9685	4617117.615	114833.0806	61085.47721	28669.58686	23740.44336	25380.54843	47790.0838	62543.23449	88267.15956	52346.4706	85241.04812	149997.1844	4637674.225	49482.28299	7719199.383	107664.1503	13337.52274	123624.2827	7866.718954	65330.80329	1256098.514	54083.61049	83129.05542	66835.14925	33473.12039	57270.48197	58714.75919	49809.8829	112240.9489	967331.1906	41668.08914	940253.2824	138628.3651	63750.8832	938175.9522	2343212.253	1586088.749	236492.4088	63875.4597	40509.45091	1004849.44	97466.15005	1781561.414	38047.03879	21151.26186	36887.51912	917618.6395	53889.6574	97424.4136	927957.4824	47225.08128	925625.6042	83589.07084	23683.76429	102723.816	252430.5883	49032.8309	366443.16	79723.6459	17140.78751	40319.69303	58140.84637	316398.3256	51843.87394	39856.35957	128639.2092	63592.17756	52575.65435	1004530.942	41911.42265	29609.61261	3248750.417	2548098.778	69992.05026	158503.7501	121179.3378	391046.3291	69433.41718	73895.49307	20081.86167	65080.48589	2978211.362	1045489.848	17689.80626	113218.2384	16771.28581	34866.70016	7789018.778	40651.88663	59860.4125	28622.42698	485073.4512	49424.33327	783112.1392	259137.8297	117408.3742	51798.54651	59370.09123	54274.14751	5711391.233	40729.81209	83406.345	383483.6776	118154.062	81052.78751	38238.83625	588687.4733	337597.6883	17316.56185	1382548.375	77947.13925	2882928.064	49198.45988	148493.9275	56716.07246	16554.5793	91542.71878	40004.6732	13379.63912	52170.20516	154169.6199	72287.71921	71379.13385	130124.3307	51931.75856	97061.36761	89293.046	100898.2519	34035.5827	96014.29101	28476.64298	65256.01984	44406.53601	17241.03699	22682.73166	895586.5292	20896.59201	48584.39787	106368.8356	299919.6399	80064.95005	117508.9947	863321.364	24925.47615	41537.33597	70563.43307	43288.9757	85587.74028	15455.01669	8367928.371	15779.18048	42640.77589	42699.97917	36868.83662	47211.17808
CHEBI:17295	C9H11NO2	N[C@@H](Cc1ccccc1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	L-phenylalanine					2.592												708432405.6	629309991.3	129716710.4	674295772.8	708864492.9	580279327.2	763786175.2	658435360.3	700996556.5	602372177.4	493636763.8	748711176.8	132007967.8	674851275.3	622798119.9	587627089.1	1128178787	862184148	475670539.5	471304848	838449455.2	843504637	673948726.6	955286562.4	289234319.2	613697487.4	489110070.2	651387269.9	650639386.4	743040303.2	687314035.4	833607560.5	633875444.4	503421650.3	659185099	175692607	149523024.6	669988537.3	539562064	960621338.6	400722891.9	681304148.5	526045229.5	539083625.7	606383935.3	536168617.1	578889179.2	1255872716	310751925.3	589438898.7	777842564.1	652908999.4	602424370.8	776196693.5	696864887.2	659713640.5	806589156.8	598447718.2	697863818.8	830072048.4	696009688.9	586498008.3	653751065.6	694738160	551918909.8	839699247.1	355396187.8	644544921.9	163309352	432017204.5	446548727.2	743129886.3	550371771.8	330587795.7	456306694.4	584811110.8	513414954	533681657.7	584160871.9	1115244306	1027790424	1005807136	520360123.8	571321730	634436886.9	631796102.9	507650733.4	605381778.7	639772327	531420991.3	573360264.3	702898376.9	574308781.8	757276271.2	743192505.1	741879675.4	295297668.7	582781442	876227888.4	928761950.8	614440365.7	1037199182	546308141.2	648129299.8	1126200497	457479121.2	796719287.7	803048967.8	1049737187	1301672592	160244928.5	968157359.5	474031823.4	415537666.8	436465858.3	751516811.3	263613275.2	611945315.5	591864247.3	807482368.1	609552828.1	397245427.5	598472991.1	554447624.1	581440864	525170708.6	691165925.7	128935478.3	447687705.4	533886307.3	439001847.2	514770931.5	781590594.4	353240286.2	282113974.8	438998779	472544485.7	903519533	584719743.7	920028773.2	825765257.3	685809614.5	504705266	400236021.9	637130938.7	388503488.8	717062935.1	616706385.3	553244022.6	641645109.9	490396482.4	457237630.7	666718184.7	861701182	429975416.3	886703841.7	622374236.3	446743725.4	515860285.3	511394642.2	582225477.1
CHEBI:35697	C9H8O2	OC(=O)\C=C\c1ccccc1	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+	Trans-cinnamic acid					2.596												20260947.07	13399320.13	14134968.58	18577944.03	19300485.07	16948919	16470777	14190760.3	14525807.05	13913190.84	11416450.84	16186819.87	14434075.28	18163981.15	16558544	14420460.3	4196753.138	24415833.91	11945576.48	12086064.17	19396204.89	5134073.268	17776648.22	24787528.57	8598297.313	11871114.25	14136968.02	15987839.11	13868587.44	17427832.89	15453954.56	17778992.65	12562053.91	11900070.39	16133933.95	18977530.89	16028648.49	17347278.76	10255863.94	22701513.22	10966926.16	16224389.38	11053466.39	12788111.15	13694724.55	12578659.78	11128832.34	31603633.56	7765610.524	12283313.74	16258428.34	14570170.3	18032714.99	17501997.3	16330573.94	16750525.87	21488180.35	14126249.53	16501851.09	5599468.927	4084009.543	13230806.18	14074463.88	20032025.02	16356172.22	17057146.85	8786923.208	12808505.12	16532031.19	11593103.38	9021140.074	18971832.37	11659449.05	6898019.664	13891333.5	10634684.66	12929797.78	11397889.07	14094539.92	29598651.45	26507338.09	29799774.17	13652881.37	12074892.41	16505027.33	17197191.91	11021225.55	13139329.75	19024483.48	13387964.58	15708021.26	17088349.01	14338947.99	19245523.15	15479853.9	17346836.72	6263939.546	14351085.02	21618826.3	24752263.33	15138647.2	25301777.04	17506948.06	11993145.89	5623656.073	14836621.38	21361206.32	19069705.76	27118816.94	7764646.633	14690499.63	20169141.09	12223095.49	9999564.837	12181553.57	20475953.97	7209439.732	13100847.91	12984730.54	16787803.41	12304876.86	11756616.77	15729040.38	13667964.01	14916388.45	11538892.52	18426216.19	14255374.27	13855597.99	17089652.02	13618958.32	16588435.71	15946277.6	9013089.029	6917845.97	13845450.04	10926326.08	20353236.15	16167344.21	23098177.16	6354816.156	15013820.06	10160918.11	10537012.05	14786542.09	10565758.85	16828348.34	16012088.51	12041631.15	16905708.04	10981200.32	14045841.69	16921947.77	24392923.62	13138432.18	24756278.92	17002821.86	9760566.723	10392578.16	11885641.27	10357931.74
CHEBI:7563	C8H8N2O3	OC(=O)CNC(=O)c1cccnc1	InChI=1S/C8H8N2O3/c11-7(12)5-10-8(13)6-2-1-3-9-4-6/h1-4H,5H2,(H,10,13)(H,11,12)	Nicotinuric acid					2.6												206244.1143	90390.18015	129518.4051	300075.6763	270081.7182	124490.2468	169540.9167	340653.4084	223553.7111	255526.3088	226216.0119	332868.6794	251831.5632	412338.8867	259784.3635	265457.1226	514848.8134	259685.5579	202311.7788	263656.2441	391858.4628	629693.136	1694932.619	394811.0719	717149.5874	307146.7596	393210.7734	219786.9454	382174.4638	198102.702	313893.7436	250049.5951	462148.1435	148404.4408	258715.7608	258263.674	187958.0879	210823.0791	235668.6702	262997.5847	275914.9212	344304.4523	151177.5429	148850.3771	139330.667	1768127.633	132666.6119	918164.1438	114208.1923	153970.3896	99528.51162	113554.4481	288060.3173	213005.4211	229597.2734	110573.458	354520.6132	111729.2028	793504.6046	344378.8388	3183329.319	128057.019	268164.1607	172826.5899	321046.3749	260000.4023	168519.2394	187108.0161	276958.5135	201834.4489	245921.8569	180965.0028	202691.3045	108558.9845	173669.7961	186547.0649	292117.4357	133843.7641	242861.1333	877891.2159	336176.2575	368944.8483	94956.91385	128236.1402	303921.104	128370.5525	2385882.603	186203.0162	230254.7616	112285.3649	1389093.526	94244.69777	169190.0136	148371.9529	153803.3624	126616.9012	732839.9494	192089.0048	174859.3145	138803.9798	297757.8009	174742.5169	188364.0741	97041.71888	126947.4614	297727.2609	184531.6404	224937.8594	313687.2594	371305.7753	230945.9321	151422.7753	218247.1765	143041.5096	120097.922	175141.585	206798.8276	114157.3653	133527.1887	294932.3773	228112.6195	189058.2795	238717.3062	269210.8309	226531.9335	113203.0166	1443603.759	268099.8131	120144.0418	252632.8153	285789.0928	364721.7462	278793.262	99390.93969	98420.92013	316382.16	176090.4948	709119.8483	165070.333	7368987.862	338625.7798	212173.5848	153852.4104	169440.1336	257294.4201	209651.5507	302127.3078	349271.6705	106757.2556	245058.6401	199616.6866	240823.9709	237644.9752	469104.8321	179566.4507	246979.6318	657946.7862	120190.3684	177218.2263	142333.8783	177804.9155
